Date,Treasury Bond ETF,US Bond ETF,US Corporate Bond ETF,,,,S&P US 3x Leverage ETF,DOW 3X levered ETF
2009-01-30,103.75,102.13,,,,2009-01-30,2.2933,
2009-02-27,101.88,100.69,,,,2009-02-27,1.5867,
2009-03-31,105.71,101.47,,,,2009-03-31,1.885,
2009-04-30,98.08,101.64,,,,2009-04-30,2.4733,
2009-05-29,94.17,102.03,,,,2009-05-29,2.8608,
2009-06-30,94.57,102.15,,,,2009-06-30,2.83,
2009-07-31,94.81,103.1,,,,2009-07-31,3.4633,
2009-08-31,96.6,104.02,,,,2009-08-31,3.8283,
2009-09-30,98.66,104.92,,,,2009-09-30,4.2542,
2009-10-30,95.78,104.81,,,,2009-10-30,3.9242,
2009-11-30,96.63,105.83,76,,,2009-11-30,4.1008,
2009-12-31,89.89,103.19,74.22,,,2009-12-31,4.3758,
2010-01-29,92.31,104.65,74.41,,,2010-01-29,3.885,
2010-02-26,91.67,104.53,74.94,,,2010-02-26,4.25,3.6308
2010-03-31,89.5,104.2,74.59,,,2010-03-31,4.96,4.2179
2010-04-30,92.13,104.89,76.56,,,2010-04-30,5.2097,4.3913
2010-05-28,96.5,105.71,74.97,,,2010-05-28,3.965,3.3908
2010-06-30,101.75,107.25,77.95,,,2010-06-30,3.2583,3.0058
2010-07-30,100.48,107.85,79.51,,,2010-07-30,3.9496,3.6713
2010-08-31,108.56,108.94,82.924,,,2010-08-31,3.4275,3.225
2010-09-30,105.51,108.65,81.06,,,2010-09-30,4.3958,4.0238
2010-10-29,100.42,108.55,80.36,,,2010-10-29,4.9133,4.4063
2010-11-30,98.41,107.37,78.4599,,,2010-11-30,4.9125,4.3017
2010-12-31,94.12,105.75,77.5219,,,2010-12-31,5.9583,4.9953
2011-01-31,91.22,105.66,76.52,,,2011-01-31,6.3483,5.4188
2011-02-28,92.4,105.65,77.54,,,2011-02-28,7.0125,5.9438
2011-03-31,92.13,105.13,76.66,,,2011-03-31,6.9875,6.04
2011-04-29,93.89,106.46,78.4,,,2011-04-29,7.6008,6.8067
2011-05-31,96.69,107.46,80.215,,,2011-05-31,7.3167,6.4508
2011-06-30,94.1,106.67,78.23,,,2011-06-30,6.8742,6.1879
2011-07-29,97.92,108.16,80.97,,,2011-07-29,6.3925,5.7933
2011-08-31,107.03,109.5,81.66,,,2011-08-31,4.9942,4.8833
2011-09-30,120.8,110.11,84.1,,,2011-09-30,3.8642,3.9796
2011-10-31,115.88,110.03,86.61,,,2011-10-31,5.1683,5.1621
2011-11-30,117.88,109.38,83.43,,,2011-11-30,4.9783,5.2154
2011-12-30,121.25,110.25,86.7,,,2011-12-30,5.07,5.4296
2012-01-31,120.85,111.05,87.81,,,2012-01-31,5.8233,6.0292
2012-02-29,117.43,110.76,88.63,,,2012-02-29,6.5808,6.5429
2012-03-30,112.2,109.85,84.98,,,2012-03-30,7.1817,6.9267
2012-04-30,117.32,110.6,86.53,,,2012-04-30,7.0067,6.9163
2012-05-31,127.6,111.56,88.74,,,2012-05-31,5.7625,5.7563
2012-06-29,125.2,111.3,89.266,,,2012-06-29,6.3475,6.4188
2012-07-31,129.7,112.59,93.78,,,2012-07-31,6.5458,6.5938
2012-08-31,127.72,112.37,93.29,,,2012-08-31,6.9833,6.79
2012-09-28,124.22,112.448,92.95,,,2012-09-28,7.5183,7.3313
2012-10-31,123.36,112.19,94.1692,,,2012-10-31,7.0517,6.7675
2012-11-30,124.79,112.25,92.82,,,2012-11-30,7.1275,6.7
2012-12-31,121.18,111.08,91.71,,,2012-12-31,7.3042,6.8413
2013-01-31,117.32,110.39,89.3,,,2013-01-31,8.4467,8.1136
2013-02-28,118.51,110.83,90.51,,,2013-02-28,8.7,8.4675
2013-03-28,117.76,110.73,89.18,,,2013-03-28,9.6992,9.4513
2013-04-30,123.01,111.54,92.84,,,2013-04-30,10.235,10.0015
2013-05-31,114.45,109.11,87.13,,,2013-05-31,10.938,10.6363
2013-06-28,110.44,107.21,82.95,,,2013-06-28,10.3125,10.1313
2013-07-31,107.7,107.3,83.43,,,2013-07-31,12.06,11.4663
2013-08-30,105.99,106.21,81.86,,,2013-08-30,10.9375,10.0375
2013-09-30,106.4,107.2,81.99,,,2013-09-30,12.01,10.7013
2013-10-31,107.64,107.899,83.73,,,2013-10-31,13.615,11.6113
2013-11-29,104.45,107.44,82.6199,,,2013-11-29,14.8225,12.9063
2013-12-31,101.86,106.43,82.99,,,2013-12-31,15.95,14.1075
2014-01-31,108.28,108.07,86.02,,,2014-01-31,14.2325,11.9663
2014-02-28,108.57,108.27,86.86,,,2014-02-28,16.1975,13.5375
2014-03-31,109.1,107.91,87.26,,,2014-03-31,16.53,13.8188
2014-04-30,111.1,108.59,89.17,,,2014-04-30,16.7975,14.085
2014-05-30,114.1,109.67,90.5,,,2014-05-30,17.88,14.5613
2014-06-30,113.52,109.4,90.25,,,2014-06-30,19.01,14.8313
2014-07-31,113.98,108.93,90,,,2014-07-31,18.155,14.1675
2014-08-29,119.05,109.98,92.59,,,2014-08-29,20.3325,15.6838
2014-09-30,116.27,109.11,89.52,,,2014-09-30,19.41,15.5038
2014-10-31,119.25,110.08,91.24,,,2014-10-31,20.595,16.2963
2014-11-28,122.49,110.61,91.46,,,2014-11-28,22.305,17.76
2014-12-31,125.92,110.12,92.42,,,2014-12-31,21.93,17.6825
2015-01-30,138.28,112.38,97.63,,,2015-01-30,19.8975,15.7225
2015-02-27,129.53,111.2,94.24,,,2015-02-27,23.3425,18.585
2015-03-31,130.69,111.43,94.095,,,2015-03-31,22.11,17.4575
2015-04-30,125.95,110.86,91.85,,,2015-04-30,22.69,17.5638
2015-05-29,122.71,110.17,88.9,,,2015-05-29,23.465,18.2625
2015-06-30,117.46,108.78,85.31,,,2015-06-30,21.9925,17.0375
2015-07-31,122.53,109.5,87.33,,,2015-07-31,23.3325,17.24
2015-08-31,121.42,108.92,85.16,,,2015-08-31,18.9225,13.9275
2015-09-30,123.54,109.58,86.03,,,2015-09-30,17.2675,13.2025
2015-10-30,122.78,109.45,86.52,,,2015-10-30,21.905,16.83
2015-11-30,121.45,108.81,85.97,,,2015-11-30,22.04,17.1325
2015-12-31,120.58,108.01,84.18,,,2015-12-31,20.72,16.135
2016-01-29,127.3,109.35,83.84,,,2016-01-29,17.4725,13.44
2016-02-29,130.98,110.09,84.42,,,2016-02-29,17.2225,13.635
2016-03-31,130.61,110.825,89.45,,,2016-03-31,20.8975,16.705
2016-04-29,129.38,110.89,91.21,,,2016-04-29,21.06,16.965
2016-05-31,130.16,110.7,90.59,,,2016-05-31,22.05,17.09
2016-06-30,138.9,112.615,94.54,,,2016-06-30,21.99,17.3925
2016-07-29,141.56,113.02,96.62,,,2016-07-29,24.4525,18.9275
2016-08-31,139.87,112.57,96.45,,,2016-08-31,24.4525,19.0025
2016-09-30,137.51,112.42,95.7,,,2016-09-30,24.295,18.665
2016-10-31,131.25,111.3,93,,,2016-10-31,22.92,18.145
2016-11-30,120.24,108.24,88.15,,,2016-11-30,25.4125,21.4925
2016-12-30,119.13,108.06,89.35,,,2016-12-30,26.9375,23.7175
2017-01-31,120.1,108.29,89.48,,,2017-01-31,28.2875,24
2017-02-28,121.74,108.77,90.83,,,2017-02-28,31.645,27.87
2017-03-31,120.71,108.49,89.9,,,2017-03-31,31.5875,27.1775
2017-04-28,122.35,109.25,90.65,,,2017-04-28,32.44,28.2325
2017-05-31,124.4,109.76,92.56,,,2017-05-31,33.65,28.7325
2017-06-30,125.12,109.51,93.3,,,2017-06-30,34.13,30.42
2017-07-31,124.04,109.65,93.71,,,2017-07-31,36.13,32.6
2017-08-31,127.99,110.45,94.48,,,2017-08-31,36.2,32.93
2017-09-29,124.76,109.59,94.17,,,2017-09-29,38.23,34.925
2017-10-31,124.46,109.47,94.51,,,2017-10-31,40.87,39.65
2017-11-30,125.12,109.08,94.35,,,2017-11-30,44.48,44.565
2017-12-29,126.86,109.33,95.75,,,2017-12-29,44.33,47.145
2018-01-31,122.73,108.1,94.7,,,2018-01-31,51.84,55.47
2018-02-28,118.75,106.77,90.8,,,2018-02-28,45.23,47.755
2018-03-29,121.9,107.25,91.36,,,2018-03-29,41.29,42.39
2018-04-30,119.1,106,88.75,,,2018-04-30,41.22,41.995
2018-05-31,121.22,106.46,88.89,,,2018-05-31,43.9,43.365
2018-06-29,121.72,106.32,87.57,,,2018-06-29,44.54,42.395
2018-07-31,119.7,106.06,89.16,,,2018-07-31,49.19,48.4
2018-08-31,120.995,106.41,88.54,,,2018-08-31,53.75,51.745
2018-09-28,117.27,105.52,87.99,,,2018-09-28,54.32,54.58
2018-10-31,113.58,104.59,84.53,,,2018-10-31,43.01,45.98
2018-11-30,115.33,104.88,83.5,,,2018-11-30,44.86,48.02
2018-12-31,121.51,106.49,85.18,,,2018-12-31,32.9,35.655
2019-01-31,121.97,107.46,88.61,,,2019-01-31,40.8,43.43
2019-02-28,120.02,107.07,87.87,,,2019-02-28,44.58,48.505
2019-03-29,126.44,109.07,91.53,,,2019-03-29,46.76,48.22
2019-04-30,123.65,108.59,91.35,,,2019-04-30,52.3,51.685
2019-05-31,131.83,110.4,93.21,,,2019-05-31,42.52,42
2019-06-28,132.81,111.35,96.87,,,2019-06-28,51.35,51.355
2019-07-31,132.89,111.3,97.39,,,2019-07-31,53.19,52.755
2019-08-30,147.28,114.13,102.58,,,2019-08-30,49.64,49.63
2019-09-30,143.08,113.17,101.14,,,2019-09-30,52.31,52.58
2019-10-31,141.24,113.15,101.11,,,2019-10-31,55.24,52.93
2019-11-29,140.42,112.86,101.81,,,2019-11-29,61.22,59.475
2019-12-31,135.48,112.37,101.36,,,2019-12-31,66.08,62.045
2020-01-31,145.9,114.65,105.25,,,2020-01-31,65.5,59.985
2020-02-28,155.31,116.22,106.35,,,2020-02-28,50.26,43.8
2020-03-31,164.97,115.37,97.13,,,2020-03-31,26.05,20.89
2020-04-30,166.74,117.1,102.2,,,2020-04-30,35.75,27.4
2020-05-29,163.59,117.65,103.98,,,2020-05-29,40.53,30.89
2020-06-30,163.93,118.21,106.29,,,2020-06-30,41.81,31.405
2020-07-31,171,119.56,112.08,,,2020-07-31,49.21,33.68
2020-08-31,162.19,118.37,107.5,,,2020-08-31,60,41.95
2020-09-30,163.26,118.06,106.88,,,2020-09-30,52.66,38.905
2020-10-30,157.57,117.2,105.68,,,2020-10-30,48.14,33.51
2020-11-30,160.02,118.42,111.83,,,2020-11-30,65.09,46.805
2020-12-31,157.73,118.19,111.07,,,2020-12-31,72.25,51.23
2021-01-29,152,117.31,107.95,,,2021-01-29,69.53,48.05
2021-02-26,143.12,115.34,104.06,,,2021-02-26,75.01,52.93
2021-03-31,135.45,113.83,101.25,,,2021-03-31,84.95,64.17
2021-04-30,138.64,114.49,102.63,,,2021-04-30,98.72,69.25
2021-05-28,138.44,114.55,103.09,,,2021-05-28,100.05,73.54
2021-06-30,144.35,115.33,106.94,,,2021-06-30,106.58,73.08
2021-07-30,149.52,116.46,109.01,,,2021-07-30,113.88,75.68
2021-08-31,148.83,116.06,108.28,,,2021-08-31,124.08,78.74
2021-09-30,144.32,114.83,105.58,,,2021-09-30,106.98,68.77
2021-10-29,147.69,114.64,107.13,,,2021-10-29,130.23,81.36
2021-11-30,151.59,114.77,107.25,,,2021-11-30,126.77,72.64
2021-12-31,148.19,114.08,105.84,,,2021-12-31,143.41,84.61
2022-01-31,142.39,111.8,100.53,,,2022-01-31,120.75,76.06
2022-02-28,139.87,110.36,97.1,,,2022-02-28,108.78,68.3
2022-03-31,132.08,107.1,93.67,,,2022-03-31,119.8,72.66
2022-04-29,119.45,102.87,84.1,,,2022-04-29,89.34,61.71
2022-05-31,116.56,103.47,85.35,,,2022-05-31,87.45,61.31
2022-06-30,114.87,101.68,81.11,,,2022-06-30,65.59,48.9
2022-07-29,117.43,104.07,85.25,,,2022-07-29,84.47,58.9
2022-08-31,111.88,100.71,80.32,,,2022-08-31,73.22,51.82
2022-09-30,102.45,96.34,73.24,,,2022-09-30,53.58,38.61
2022-10-31,96.11,94.9,71.46,,,2022-10-31,66,56.05